Dataset,Model,Clients,Rounds,Final Accuracy,Avg Split Layer
CIFAR-100,ResNet50,5,50,0.6161896716104162,37
CIFAR-100,ResNet50,5,100,0.6725810133691863,40
CIFAR-100,ResNet50,10,10,0.4639251540422828,35
CIFAR-100,ResNet50,10,20,0.5453773696391971,33
CIFAR-100,ResNet50,10,50,0.6090724954032194,39
CIFAR-100,ResNet50,10,100,0.627965743683605,41
CIFAR-100,ResNet50,100,10,0.3943781826127863,32
CIFAR-100,ResNet50,100,20,0.4553849787320589,35
CIFAR-100,ResNet50,100,50,0.5100212626993471,40
CIFAR-100,ResNet50,100,100,0.5321730832849872,42
CIFAR-100,ResNet50,200,10,0.341004304561012,33
CIFAR-100,ResNet50,200,20,0.3868312866111731,34
CIFAR-100,ResNet50,200,50,0.4394448564328391,37
CIFAR-100,ResNet50,200,100,0.4456131241119098,39
CIFAR-100,MobileNetV4,5,10,0.4809576559783158,36
CIFAR-100,MobileNetV4,5,20,0.5322184225640011,36
CIFAR-100,MobileNetV4,5,50,0.607635377661455,41
CIFAR-100,MobileNetV4,5,100,0.6388276707346949,48
CIFAR-100,MobileNetV4,10,10,0.4608369012729236,40
CIFAR-100,MobileNetV4,10,20,0.5004401859334316,36
CIFAR-100,MobileNetV4,10,50,0.5645793618554371,42
CIFAR-100,MobileNetV4,10,100,0.6096706671278692,44
CIFAR-100,MobileNetV4,100,10,0.3929648240798473,39
CIFAR-100,MobileNetV4,100,20,0.4293546440589889,36
CIFAR-100,MobileNetV4,100,50,0.4852381770316435,43
CIFAR-100,MobileNetV4,100,100,0.521238792617696,48
CIFAR-100,MobileNetV4,200,10,0.3383950268937555,37
CIFAR-100,MobileNetV4,200,20,0.3874739230720906,35
CIFAR-100,MobileNetV4,200,50,0.425503647606975,44
CIFAR-100,MobileNetV4,200,100,0.4529749565912222,43
CIFAR-100,ConvNeXt,5,10,0.5240456653774404,44
CIFAR-100,ConvNeXt,5,20,0.6004477028474511,42
CIFAR-100,ConvNeXt,5,50,0.650063612659827,45
CIFAR-100,ConvNeXt,5,100,0.68268647132704,50
CIFAR-100,ConvNeXt,10,10,0.4847256729843028,39
CIFAR-100,ConvNeXt,10,20,0.5539479148428093,40
CIFAR-100,ConvNeXt,10,50,0.6128586151111304,44
CIFAR-100,ConvNeXt,10,100,0.6606303736630887,45
CIFAR-100,ConvNeXt,100,10,0.3982845278176565,42
CIFAR-100,ConvNeXt,100,20,0.4625008773272628,41
CIFAR-100,ConvNeXt,100,50,0.5033260765231616,44
CIFAR-100,ConvNeXt,100,100,0.5534944074256285,47
CIFAR-100,ConvNeXt,200,10,0.3530347532166827,43
CIFAR-100,ConvNeXt,200,20,0.4081663464048486,41
CIFAR-100,ConvNeXt,200,50,0.454969349147127,44
CIFAR-100,ConvNeXt,200,100,0.5013502522075469,52
